iorig,x,y,z,vx,vy,vz,u,h,alpha,divv
161,0.50390625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.002454122853319587,0.0,3.7490143386304826,0.019104877,0.0,6.719578e-08
162,0.51953125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.01224106752097421,0.0,3.7490143386304826,0.019104877,0.0,3.351699e-07
163,0.53515625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.021910124016752897,0.0,3.7490143386304826,0.019104877,0.0,5.999161e-07
164,0.55078125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.03136817404095676,0.0,3.7490143386304826,0.019104877,0.0,8.5888485e-07
165,0.56640625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.04052413140155605,0.0,3.7490143386304826,0.019104877,0.0,1.109582e-06
166,0.58203125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.0492898192240122,0.0,3.7490143386304826,0.019104877,0.0,1.3495933e-06
167,0.59765625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.05758081914278203,0.0,3.7490143386304826,0.019104877,0.0,1.5766072e-06
168,0.61328125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.06531728429632566,0.0,3.7490143386304826,0.019104877,0.0,1.7884377e-06
169,0.62890625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.07242470829603195,0.0,3.7490143386304826,0.019104877,0.0,1.9830445e-06
170,0.64453125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.07883464276347008,0.0,3.7490143386304826,0.019104877,0.0,2.1585533e-06
171,0.66015625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.0844853565256917,0.0,3.7490143386304826,0.019104877,0.0,2.3132743e-06
172,0.67578125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.08932243012017177,0.0,3.7490143386304826,0.019104877,0.0,2.4457172e-06
173,0.69140625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.09329927988398186,0.0,3.7490143386304826,0.019104877,0.0,2.5546062e-06
174,0.70703125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.09637760657992894,0.0,3.7490143386304826,0.019104877,0.0,2.6388932e-06
175,0.72265625,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.09852776423914633,0.0,3.7490143386304826,0.019104877,0.0,2.6977661e-06
176,0.73828125,0.04391430708322997,-0.14671422938545076,-0.49973708786350574,-0.0997290456679799,0.0,3.7490143386304826,0.019104877,0.0,2.7306583e-06
